course_id,course_name,category,difficulty,duration_hours,description,features,roadmap_url
13,Calculus for ML,Mathematics,Intermediate,12,"Focus on derivatives integrals and multivariate concepts that underpin optimization and neural networks. Applications include gradients backpropagation intuition and basic convexity ideas. Worked examples tie calculus to loss surfaces and training behavior. For students moving from algebra into ML-heavy curricula.",calculus derivatives gradients optimization backpropagation multivariate intermediate mathematics,https://roadmap.sh/ai-data-scientist
14,Probability & Bayesian Thinking,Mathematics,Intermediate,16,"Build probabilistic models and reasoning with discrete and continuous distributions Bayes rule and simulation. You will interpret uncertainty quantify beliefs and relate topics to modern Bayesian ML. Exercises reinforce decision-making under incomplete information. Target audience includes data scientists and quantitative analysts.",probability Bayes distributions simulation uncertainty inference intermediate mathematics,https://roadmap.sh/data-analyst
15,Web Scraping,Programming,Beginner,8,"Collect structured data from the web responsibly using HTTP clients HTML parsing and browser automation basics. You will handle pagination rate limits and simple cleaning pipelines. Legal and ethical scraping practices are highlighted throughout. Beginners with Python fundamentals will progress quickly.",BeautifulSoup Selenium requests parsing HTML extraction beginner programming,https://roadmap.sh/python
16,Flask Web Development,Web Dev,Intermediate,20,"Build secure maintainable web services with Flask including routing templates blueprints and REST patterns. You will integrate authentication configuration and deployment to common hosts. Projects mirror small production APIs and content sites. Intended for developers expanding from Python scripts into full web stacks.",Flask REST templates authentication deployment APIs intermediate web development,https://roadmap.sh/full-stack
17,Django REST APIs,Web Dev,Advanced,25,"Engineer enterprise-style APIs with Django REST Framework serializers permissions and versioning. Topics include ORM performance testing pagination and integration with front-end clients. You will practice patterns used in large Python codebases. Prior Django or strong web fundamentals are recommended.",Django REST serializers ORM authentication testing advanced web development,https://roadmap.sh/full-stack
18,Docker & Kubernetes,DevOps,Advanced,22,"Containerize applications and orchestrate them on Kubernetes with services ingress and observability hooks. Labs cover images multi-stage builds Helm basics and CI-friendly workflows. You will improve reliability and portability across environments. For engineers modernizing delivery platforms.",Docker Kubernetes containers orchestration microservices CI CD advanced devops,https://roadmap.sh/devops
19,Git & GitHub,Tools,Beginner,6,"Learn distributed version control workflows branching merging rebasing and collaborative pull requests. You will configure repositories resolve conflicts and adopt team conventions safely. Real-world scenarios mirror open-source and commercial practices. No prior VCS experience required.",Git branching merge pull requests collaboration version control beginner tools,https://roadmap.sh/backend
20,Cloud Computing (AWS),Cloud,Advanced,28,"Architect resilient workloads on AWS using compute storage networking and serverless building blocks. You will design for scalability cost observability and least-privilege security. Case studies map common patterns to well-architected guidance. Best for practitioners ready to own cloud infrastructure decisions.",AWS EC2 S3 Lambda RDS scalability cloud architecture advanced cloud,https://roadmap.sh/devops
21,Power BI Dashboards,Data Viz,Intermediate,14,"Create executive-ready dashboards in Power BI with data modeling DAX and refresh automation. You will connect to diverse sources define KPIs and publish governed reports. Storytelling and layout best practices are emphasized. Geared toward analysts translating business questions into interactive insights.",Power BI DAX dashboards KPIs business intelligence intermediate data visualization,https://roadmap.sh/data-analyst
22,Tableau Essentials,Data Viz,Beginner,10,"Learn Tableau fundamentals for exploratory analysis and polished dashboards. Skills include calculated fields parameters maps and sharing to Tableau Server or Cloud. Activities reinforce speed to insight for stakeholders. Suitable for newcomers to visual analytics.",Tableau charts dashboards calculated fields analytics beginner data visualization,https://roadmap.sh/data-analyst
23,Excel for Data Analysis,Data Viz,Beginner,8,"Advance from spreadsheets to repeatable analysis using pivot tables lookups and charting in Excel. You will clean messy data document assumptions and present findings clearly. Productivity shortcuts and error-checking habits are included. Designed for professionals who rely on Excel daily.",Excel pivot tables analysis charts data cleaning beginner data visualization,https://roadmap.sh/data-analyst
24,R Programming,Programming,Intermediate,18,"Program effectively in R for statistics visualization and tidy data workflows with dplyr and ggplot2. You will import transform and communicate results reproducibly. Projects mirror academic and industry analytics pipelines. Assumes prior statistics coursework or concurrent study.",R ggplot2 dplyr tidyverse statistics visualization intermediate programming,https://roadmap.sh/data-analyst
25,Time Series Forecasting,Machine Learning,Advanced,22,"Model temporal data with classical and modern approaches including ARIMA Prophet and sequence models. You will handle seasonality missing values and backtesting rigorously. Use cases span demand planning operations and finance. Requires strong statistics and ML foundations.",ARIMA Prophet LSTM forecasting seasonality trends advanced machine learning,https://roadmap.sh/ai-data-scientist
26,Recommender Systems,Machine Learning,Advanced,26,"Study collaborative filtering matrix factorization hybrid recommenders and evaluation offline versus online. You will implement ranking metrics cold-start mitigations and responsible personalization. Labs reference large sparse interaction datasets. For ML engineers focusing on engagement and discovery products.",collaborative filtering matrix factorization ranking evaluation advanced machine learning,https://roadmap.sh/ai-data-scientist
27,Reinforcement Learning,Machine Learning,Advanced,30,"Understand agents environments policies and value methods with hands-on Gym-style experiments. Topics include Q-learning policy gradients and exploration trade-offs. You will connect theory to robotics games and decision systems. Demanding course for learners with calculus probability and deep learning maturity.",reinforcement learning Q-learning policy gradient Gym rewards advanced machine learning,https://roadmap.sh/ai-data-scientist
28,Ethical AI & Bias,AI Ethics,Intermediate,10,"Examine fairness accountability transparency and privacy in machine learning systems. Case studies cover dataset bias mitigation documentation and stakeholder communication. You will draft responsible AI checklists aligned to emerging regulation. Valuable for builders and leaders shipping AI features.",fairness bias privacy transparency responsible regulation intermediate ethics,https://roadmap.sh/ai-data-scientist
29,Big Data with Spark,Big Data,Advanced,28,"Process large datasets with Apache Spark including DataFrames SQL APIs and structured streaming. You will reason about partitions shuffles and cluster tuning on batch and near-real-time workloads. Integrations with data lakes and warehouses are discussed. For engineers scaling beyond single-machine Python.",Spark Hadoop streaming DataFrames scalability cluster advanced big data,https://roadmap.sh/data-engineer
30,MLOps & Deployment,MLOps,Advanced,24,"Operationalize models with reproducible training CI/CD for ML monitoring and safe rollouts. Tools include container registries feature stores and experiment tracking patterns. You will align data science and platform teams for reliable production inference. Assumes prior ML and basic DevOps exposure.",MLOps deployment monitoring MLflow Docker CI CD pipelines advanced mlops,https://roadmap.sh/devops
